Type :,DIL805
Test :,_Henrique-sp3-aq10Cs-resfr100Cs_01.01.07_


;Time;Temperature;Change in Length;Nominal Temperature
 101;17.00066566;170.04600525;17.86371803;169.99468994
 102;17.17014313;171.70388794;18.06832504;171.68954468
 103;17.34091568;173.36572266;18.34900284;173.39714050
 104;17.51042557;175.03361511;18.56147957;175.09217834
 105;17.68113136;176.83151245;18.79231834;176.79933167
 106;17.85065269;178.48361206;19.04676437;178.49449158
 107;18.02010536;180.32994080;19.25137138;180.18908691
 108;18.19073105;182.01518250;19.51368713;181.89535522
 109;18.36016655;183.62850952;19.76551056;183.58979797
 110;18.53082466;185.34100342;20.00683975;185.29641724
 111;18.70022583;186.97189331;20.25604057;186.99028015
 112;18.87091827;188.62060547;20.53934097;188.69732666
 113;19.04050446;190.34587097;20.75181770;190.39308167
 114;19.21007538;192.06423950;20.98790169;192.08885193
 115;19.38076019;193.77166748;21.28431892;193.79550171
 116;19.55024910;195.55162048;21.50728798;195.49066162
 117;19.72098541;197.17190552;21.74861908;197.19799805
 118;19.89051628;199.00292969;22.00044250;198.89320374
 119;20.06113243;200.54463196;22.24177170;200.59938049
 120;20.23064995;202.29623413;22.50671196;202.29452515
 121;20.40013504;204.01493835;22.77952003;203.98939514
 122;20.57088661;205.65451050;22.95264816;205.69692993
 123;20.74041557;207.33413696;23.23070335;207.39221191
 124;20.91003036;209.12860107;23.48777390;209.08834839
 125;21.08069611;210.73924255;23.71861076;210.79510498
 126;21.25014305;212.41793823;24.01240540;212.48948669
 127;21.42086792;214.18119812;24.24324417;214.19677734
 128;21.59036064;215.88378906;24.49769020;215.89166260
 129;21.76102448;217.60603333;24.75213623;217.59844971
 130;21.93052673;219.30120850;25.00658226;219.29321289
 131;22.10004234;221.00378418;25.25316048;220.98860168
 132;22.27068710;222.75639343;25.48137474;222.69499207
 133;22.44023323;224.45523071;25.75418282;224.39048767
 134;22.61092567;226.20252991;25.98502159;226.09733582
 135;22.78036308;227.83052063;26.26045418;227.79176331
 136;22.95000458;229.49645996;26.50440788;229.48808289
 137;23.12078476;231.14926147;26.74573708;231.19583130
 138;23.29021835;232.87091064;27.03953171;232.89030457
 139;23.46093750;234.59980774;27.26250076;234.59747314
 140;23.63039780;236.35620117;27.55367088;236.29196167
 141;23.80116653;237.99508667;27.81861115;237.99987793
 142;23.97078323;239.72822571;28.02584076;239.69587708
 143;24.14037323;241.56010437;28.31176376;241.39169312
 144;24.31105995;243.09497070;28.54522514;243.09861755
 145;24.48051643;244.78179932;28.77606392;244.79324341
 146;24.65114975;246.40782166;29.09871292;246.49957275
 147;24.82070541;248.14924622;29.31118774;248.19517517
 148;24.99030304;249.97357178;29.61285210;249.89103699
 149;25.16116714;251.63159180;29.87254524;251.59973145
 150;25.33065605;253.29075623;30.13748360;253.29466248
 151;25.50023079;255.04895020;30.41029167;254.99041748
 152;25.67095184;256.65274048;30.65424538;256.69757080
 153;25.84043312;258.48040771;30.90606880;258.39263916
 154;26.01107788;260.12484741;31.13953018;260.09890747
 155;26.18056870;261.84085083;31.35987473;261.79376221
 156;26.35010910;263.48370361;31.65629196;263.48913574
 157;26.52080345;265.12106323;31.90549469;265.19610596
 158;26.69042015;266.88150024;32.18354797;266.89221191
 159;26.86108398;268.55728149;32.44324112;268.59881592
 160;27.03059006;270.29275513;32.67407990;270.29391479
 161;27.20004082;272.03482056;32.92852402;271.98858643
 162;27.37091446;273.65020752;33.23543549;273.69705200
 163;27.54048729;275.41836548;33.47676468;275.39294434
 164;27.71012878;277.08731079;33.74957657;277.08938599
 165;27.88087654;278.81829834;34.01189041;278.79690552
 166;28.05027771;280.48059082;34.27945328;280.49081421
 167;28.22092438;282.24026489;34.50766754;282.19729614
 168;28.39040756;283.82510376;34.75949097;283.89208984
 169;28.56113052;285.62603760;35.00868988;285.59939575
 170;28.73053169;287.29656982;35.30510712;287.29342651
 171;28.90000343;289.05477905;35.55955505;288.98809814
 172;29.07067680;290.70196533;35.84547806;290.69488525
 173;29.24020386;292.43521118;36.10517120;292.39019775
 174;29.41100883;294.06045532;36.39371872;294.09793091
 175;29.58046913;295.85250854;36.64292145;295.79272461
 176;29.75115395;297.51443481;36.91835022;297.49966431
 177;29.92065239;299.25515747;37.18329239;299.19458008
 178;30.09002686;300.92794800;37.43511581;300.88827515
 179;30.26071739;302.58200073;37.68169022;302.59527588
 180;30.43016624;304.23944092;37.92302322;304.28973389
 181;30.60078049;306.00439453;38.21157074;305.99600220
 182;30.77027130;307.71179199;38.50798798;307.69079590
 183;30.94081116;309.43475342;38.75456238;309.39627075
 184;31.11032486;311.14291382;39.00114059;311.09136963
 185;31.28108215;312.68838501;39.28706360;312.79888916
 186;31.45051384;314.51272583;39.53364182;314.49322510
 187;31.62014008;316.14379883;39.86153793;316.18954468
 188;31.79080009;317.94815063;40.10286713;317.89614868
 189;31.96032715;319.62399292;40.37042999;319.59133911
 190;32.13092804;321.33590698;40.63799286;321.29733276
 191;32.30047989;323.00500488;40.89768600;322.99291992
 192;32.47119522;324.69702148;41.17573929;324.69995117
